Generation,Fitness_Sum_HC_RA,Fitness_Sum_HC,Fitness_Sum_GA_RA,Fitness_Sum_GA,Fitness_Sum_RS
1,876663.5166773621,982245.1308512562,875392.2687163302,609273.5827205958,926169.5781658554
2,479526.9687911334,541510.4070121405,475343.08461586916,326609.3513390073,501231.32403339405
3,346140.2742647873,382057.3093386694,326505.4411197871,231834.91981610857,343862.2257104276
4,293358.47017352044,309199.29980845755,263879.16997542675,179427.06333188762,304124.90066248964
5,237925.4000973922,258821.228048019,216573.74215189173,150782.19367671793,245572.01418070498
6,201536.6464862845,229474.0195462809,180222.641439692,134271.13875020586,215352.84068074895
7,187119.24151971645,218878.15270377955,164401.99684245497,119753.8350704998,193222.89004660788
8,182059.692214601,194392.07750679273,152141.2949127566,111975.33629801273,177018.9907740177
9,158855.20777406404,181248.0358874888,140694.46969632554,98571.9204819854,169182.27235324166
10,150645.01552461318,168530.86433854033,128612.57259230157,94794.35966412287,166588.5798886645
Fitness Improvement(%),33.930451735575105,40.64967967700444,29.63550362036278,0.0,36.54882499517813
