Generation,Fitness_Sum_HC_RA,Fitness_Sum_HC,Fitness_Sum_GA_RA,Fitness_Sum_GA,Fitness_Sum_RS
1,39474.72758094571,39459.20167025716,31124.952250328373,30259.70828035709,39545.2667182921
2,37787.04605777089,39044.65955147995,30209.999795668282,30480.264313307103,40271.930966142565
3,37362.4473699748,38504.29635857661,28783.25497548582,27383.659034271433,39102.570542068584
4,36633.673954105834,36824.20103035347,29402.36021783196,26532.35489115284,37945.87198280684
5,37846.28464961716,36826.177924279844,29105.6557376295,23923.756665685898,39474.72758094571
6,35782.338716941646,35282.270746746755,24904.757547145844,20092.268617887115,38174.814009814916
7,34341.83876490358,33686.809879944034,26056.874801238013,18735.284704700338,37386.70776352285
8,32691.68591102164,32151.64967033499,23815.059725063915,17480.154005074823,37247.67772469065
9,31548.353110039065,32956.711628130884,25415.838713580244,18176.804913054762,37613.51129142863
10,32091.007000265025,34302.92694411143,25569.878202542608,18601.43526144949,36594.13859834389
Fitness Improvement(%),34.844729556588064,35.47615949137162,15.570230068710517,0.0,39.56923717459588
