Generation,Fitness_Sum_HC_RA,Fitness_Sum_HC,Fitness_Sum_GA_RA,Fitness_Sum_GA,Fitness_Sum_RS
10,8072.759805400258,8966.736288697466,7586.042354396405,6887.276672869543,7654.142485660561
15,17860.44475136173,18304.671697559148,14445.962312265257,12036.292075569132,16171.156967330498
20,31940.328568337667,37508.086118922445,28998.586016223173,21557.196085400254,34726.271951844676
25,58120.08763077531,64931.51070521898,49772.069070042606,38521.24905806666,59448.85550268892
30,91722.81069578038,109611.57717060085,79814.12000984045,58633.9093053791,99291.08115325672
35,151412.9049079613,168563.8018285707,126953.43392132487,94059.86658261056,155666.60192899196
40,213868.34390904027,244679.9033353181,181303.89787488588,128882.06417004945,226042.47162296332
45,282850.4196071224,342716.18345437496,251343.49895260716,184970.335923777,317165.27663938235
50,417523.1511019102,493267.3761994599,346697.17638728215,244090.8506981872,423592.08879635204
Fitness Improvement(%),37.98830938223027,46.95246233976593,27.350418810211576,0.0,41.061066865734325
