Generation,Fitness_Sum_HC_RA,Fitness_Sum_HC,Fitness_Sum_GA_RA,Fitness_Sum_GA,Fitness_Sum_RS
1,2644243.138119277,5497696.376007724,1190023.5933065158,880274.743540179,2499541.340495278
2,2329207.712022558,5406233.643227824,1074021.1232777247,735406.9435502494,2046173.7598056765
3,2153007.061703092,5306235.226028295,1007509.2267027041,647274.888106784,1867045.4430650612
4,2037810.824597658,5221055.307706196,959099.6817416274,602711.0462196093,1800007.5995601427
5,1971138.8968251601,5137644.296343267,936032.5341119627,573546.8843465309,1704956.4400163048
6,1900360.1665681028,5103140.745247164,910259.8814785694,554167.2722942602,1640730.7218290626
7,1850001.3223669995,5037736.172675385,890553.8679187325,536821.4365646434,1606260.187856922
8,1809085.584716063,4971330.522572228,878031.7896506158,527003.805690218,1588638.7011625834
9,1780349.1260983536,4924545.470519793,865331.2799672495,516669.56722106406,1573623.6125283702
10,1732356.2738044665,4886376.816221261,856212.9366373817,508320.65008467174,1532740.2336942682
11,1695906.9606026467,4827255.795965985,852454.8634086752,502416.7416612138,1523514.6704631036
12,1677706.7286012822,4612129.666573326,845702.3636365483,499408.4701865814,1512655.5961858951
13,1643505.2812065145,4566678.138684331,841002.5497996014,495250.7342254213,1490764.0017125322
14,1636398.9371851573,4525856.760792071,833904.1760880178,491359.7419107418,1466229.214035333
15,1620912.7982133878,4498484.895178174,832008.774833218,488050.9810426265,1451709.0032203714
16,1603392.0814806744,4458064.585642496,823293.1283509344,484813.3058695569,1419300.9276601034
17,1588240.8893822564,4430328.119487945,820800.7512378542,481330.36598844605,1419274.9945467247
18,1584517.9783134495,4389009.722116351,819055.5620759046,479409.59371936833,1417107.3448639782
19,1565928.0270779103,4309974.764592377,816235.5677854029,478023.0521187397,1409182.8122612298
20,1543781.3258357157,4267508.113034745,814404.2400924627,475994.7347571295,1408372.3858370678
21,1530327.7103815866,4233320.477545229,814065.2991466392,474080.4857526394,1408372.3858370678
22,1520079.3028407493,4207344.958571401,812980.9519060402,473017.3667472876,1405712.8821065137
23,1513031.0288684156,4188283.895503286,810385.1264894668,471792.459382384,1403095.8151833585
24,1500992.5513951092,4156846.9277221304,806872.936548258,470451.6274848618,1403095.8151833585
25,1487735.5553357906,4136920.8935532807,804809.1028419789,468855.5568217371,1403095.8151833585
26,1471000.7453972572,4107593.791654202,801475.9628156833,468201.18864008994,1397997.6647107494
27,1461205.2296341124,4082195.5716961934,800136.599100949,466612.2412521953,1390510.3235812292
28,1456314.7222343956,4060217.4886987847,799488.9191079953,465322.37792577635,1378291.3955644858
29,1444798.6426210494,4045831.387281212,798800.3352266253,464470.1390944995,1377906.3961357973
30,1438402.158632126,4026634.9725510753,797738.737252499,462988.84283422143,1374075.582267422
Fitness Improvement(%),69.44028934483532,88.63263635695323,39.627857545551116,0.0,66.2261378149554
